TABLE 3: Feature Selection Results (accuracy% / #features)
==========================================================================================
Dataset             PSO     GWO     WOA     SCA     HHO      AO    AVOA     ARO    INFO     SGA    PSGO
------------------------------------------------------------------------------------------
BreastCancer       96.8    96.1    96.3    96.7    96.0    96.4    96.0    96.4    96.5    96.3  *96.9*
(#feat)            18.5    20.0    23.0    22.5    10.5    13.0    20.5    19.0    20.0    20.5    21.0

Parkinsons         73.6    68.7    76.2    76.9    70.8    72.8    78.2  *79.5*    76.2    73.3    76.9
(#feat)            15.5    13.0    18.0    18.5    13.0    13.0    16.5    19.5    16.0    17.0    15.5

Ionosphere         68.8    71.4    70.2    72.4    69.7    70.4    72.7  *73.4*    72.2    69.0    71.5
(#feat)            23.5    25.0    26.0    27.5    26.5    22.5    26.0    25.5    25.0    27.0    26.0

Diabetes           75.1    76.4    70.4    63.6    63.2    68.7    75.8    75.1    69.5  *76.6*    75.2
(#feat)             6.5     5.5     5.0     5.0     3.0     4.0     5.5     7.0     5.0     4.5     6.5

Sonar            *67.0*    61.5    63.7    63.4    63.2    58.6    63.2    61.8    64.2    63.5    65.6
(#feat)            46.5    40.5    47.0    50.5    49.0    42.0    46.5    48.0    45.5    49.0    46.5

HeartDisease       78.2    68.7    73.9    78.9    79.4    79.5  *80.0*    75.7    78.0    79.9    76.9
(#feat)             7.5     6.5     8.0     8.5     8.5     6.0     9.5     8.5     8.5     9.5     9.0
