TABLE 3: Feature Selection Results (accuracy% / #features)
==========================================================================================
Dataset             PSO     GWO     WOA     SCA     HHO      AO    AVOA     ARO    INFO     SGA    PSGO
------------------------------------------------------------------------------------------
BreastCancer       95.3  *96.6*    95.9    95.9    92.9    93.6    95.8    96.0    95.4    96.2    96.0
(#feat)            18.6    18.2    18.6    19.2     8.4     9.0    17.4    19.6    17.6    22.6    17.2

Parkinsons         71.6    74.7    74.5    72.9    63.6    74.6  *76.0*    74.4    71.8    75.0    75.4
(#feat)            14.8    15.6    15.6    16.6     9.2    15.8    17.6    16.8    15.0    16.8    15.8

Ionosphere         69.4    72.9    71.9    71.0    69.9    65.6    73.9    72.6  *74.6*    72.8    69.5
(#feat)            23.2    24.0    27.0    25.2    17.0    19.6    25.8    25.2    25.6    28.0    23.8

Diabetes           73.0  *76.4*    74.0    75.5    63.4    69.0    68.7    75.5    74.8    70.6    71.7
(#feat)             5.4     4.4     5.4     6.2     4.4     4.0     4.8     6.2     6.4     5.2     5.0

Sonar              64.1    63.5    63.7    65.4    60.3    63.0    62.9  *65.7*    64.9    64.4    63.4
(#feat)            43.0    41.0    44.6    46.6    40.8    33.6    45.8    48.8    47.0    47.2    43.2

HeartDisease       74.2  *78.3*    75.5    75.8    73.9    59.9    75.9    75.6    72.7    76.2    76.5
(#feat)             7.8     7.6     7.6     9.4     6.8     3.8     7.8    10.0     8.2     9.6     8.4
